"Poultry and Eggs: Volume of Production of Poultry Products, Region and by Quarter, 2000-2022"

"Poultry Type";"Geolocation";"Period";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Chicken eggs";"PHILIPPINES";"Annual";243381.00;246700.00;260980.00;274813.00;296576.00;320322.00;330288.00;335104.00;350939.00;368464.00;387335.00;403432.69;421056.60;427686.00;415652.00;444550.06;461719.00;492406.00;533905.00;583234.00;605786.16;661390.51;..
"Chicken eggs";"..NCR";"Annual";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;17.49;..
"Chicken eggs";"..CAR";"Annual";1988.00;2053.00;2291.00;2478.00;2789.00;2751.00;2719.00;2626.00;2693.00;2916.00;2883.00;2831.00;2879.11;3198.00;3292.00;3606.00;3505.00;3397.00;3936.00;4072.00;4607.94;4892.46;..
"Chicken eggs";"..I - Ilocos Region";"Annual";6413.00;7387.00;7573.00;7805.00;8929.00;10455.00;12389.00;14742.00;16046.00;16641.00;16775.00;16462.00;16235.88;13867.00;12785.00;14087.00;14081.00;16265.00;18588.00;19578.00;21229.89;20581.58;..
"Chicken eggs";"..II - Cagayan Valley";"Annual";8590.00;9097.00;9041.00;9262.00;9820.00;9372.00;10015.00;9461.00;9366.00;8112.00;8496.00;8192.00;8884.18;10243.00;11821.00;11951.00;12305.00;12987.00;14331.00;14787.00;14195.81;15258.63;..
"Chicken eggs";"..III - Central Luzon";"Annual";39543.00;37541.00;38821.00;40808.00;43965.00;54466.00;58045.00;62280.00;68760.00;71526.00;75523.00;77109.69;80885.75;86429.00;88303.00;91125.00;93564.00;102159.00;105238.00;118182.00;122267.07;136301.00;..
"Chicken eggs";"..IVA - CALABARZON";"Annual";67818.00;68933.00;74160.00;77861.00;81799.00;86954.00;86086.00;87162.00;93538.00;99934.00;112096.00;120876.00;129776.96;128707.00;120642.00;133962.00;140274.00;145017.00;156317.00;174939.00;184746.87;209829.77;..
"Chicken eggs";"..MIMAROPA Region";"Annual";3787.00;4147.00;4261.00;4526.00;4322.00;4316.00;4058.00;4075.00;4138.00;4156.00;4264.00;4344.00;4370.27;4332.00;4737.00;5608.00;5401.00;5631.00;6612.00;6942.00;7437.91;8476.60;..
"Chicken eggs";"..V - Bicol Region";"Annual";17432.00;16118.00;17082.00;19361.00;22244.00;22967.00;23117.00;15655.00;13941.00;16124.00;16194.00;16654.00;17519.69;18847.00;16877.00;13836.00;13381.00;12790.00;13434.00;14836.00;14856.21;15099.32;..
"Chicken eggs";"..VI - Western Visayas";"Annual";20729.00;21842.00;21472.00;20723.00;21708.00;23131.00;22058.00;23216.00;25355.00;26779.00;27841.00;30098.00;31376.23;33558.00;31188.00;32175.00;31771.00;30955.00;34351.00;35939.00;37016.74;36541.77;..
"Chicken eggs";"..VII - Central Visayas";"Annual";22478.00;23472.00;25767.00;28996.00;32723.00;33492.00;34223.00;36584.00;34169.00;37041.00;39119.00;40155.00;41630.97;38600.00;33413.00;41648.00;46304.00;48568.00;52139.00;53863.00;55180.99;69436.08;..
"Chicken eggs";"..VIII - Eastern Visayas";"Annual";5196.00;5238.00;5974.00;6005.00;6299.00;6589.00;5550.00;5266.00;4749.00;4407.00;3373.00;3578.00;3100.39;2849.00;2215.00;2378.00;2509.00;3114.00;4253.00;4547.00;5840.80;5706.84;..
"Chicken eggs";"..IX - Zamboanga Peninsula";"Annual";7317.00;7300.00;7412.00;7528.00;7933.00;8261.00;8487.00;8798.00;9764.00;9828.00;9684.00;9452.00;8599.66;8081.00;8976.00;10530.00;11055.00;12481.00;13519.00;16185.00;16882.45;17523.62;..
"Chicken eggs";"..X - Northern Mindanao";"Annual";17459.00;16335.00;17493.00;19510.00;22543.00;24394.00;28371.00;29639.00;32333.00;33644.00;34534.00;36632.00;37897.47;39830.00;40805.00;41841.00;43084.00;45713.00;47788.00;49204.00;52093.38;53980.25;..
"Chicken eggs";"..XI - Davao Region";"Annual";14942.00;16734.00;18370.00;19171.00;19510.00;20986.00;21642.00;20495.00;20252.00;22289.00;21464.00;22255.00;22833.11;23309.00;24063.00;24819.00;25495.00;26407.00;26123.00;31651.00;30133.65;29796.53;..
"Chicken eggs";"..XII - SOCCSKSARGEN";"Annual";4811.00;5451.00;6035.00;5630.00;6332.00;6677.00;7486.00;8193.00;9017.00;8757.00;8974.00;9324.00;9193.01;9109.00;9007.00;8469.00;10861.00;18789.00;25846.00;27145.00;27012.66;25845.96;..
"Chicken eggs";"..XIII - Caraga";"Annual";2947.00;2962.00;2788.00;2565.00;2694.00;2580.00;2380.00;2986.00;2720.00;2268.00;2325.00;2307.00;2500.82;3222.00;4052.00;4815.06;4758.00;4834.00;8174.00;8017.00;8490.20;8767.77;..
"Chicken eggs";"..BARMM";"Annual";1931.00;2090.00;2440.00;2584.00;2966.00;2931.00;3662.00;3926.00;4098.00;4042.00;3790.00;3163.00;3373.08;3505.00;3476.00;3700.00;3371.00;3299.00;3256.00;3347.00;3793.60;3334.82;..
