Month,Value Production(in million pesos),,,Growth Rate (in percent),
,2018,2019,2020,2019,2020
Anual Average,4.48,5.04,5.64,12.4,11.9
January,4.69,4.72,5.66,0.6,19.9
February,4.63,4.63,5.64,-,21.8
March,4.44,4.59,5.67,3.4,23.5
April,4.37,4.65,5.63,6.4,21.1
May,4.34,4.54,5.45,4.6,20
June,4.32,4.77,5.62,10.4,17.8
July,4.41,4.85,5.78,10,19.2
August,4.45,5.18,5.72,16.4,10.4
September,4.44,5.46,5.61,23,2.7
October,4.51,5.63,5.62,24.8,-0.2
November,4.52,5.64,5.6,24.8,-0.7
December,4.64,5.76,5.64,24.1,-2.1
