,Average Retail Price (PhP per piece),,,Growth Rate (in percent,
Month,2018,2019,2020,2019,2020
Annual Average,5.74,6.07,6.73,5.7,10.9
January,5.77,5.77,6.7,-,16.1
February,5.69,5.82,6.69,2.3,14.9
March,5.73,5.83,6.75,1.7,15.8
April,5.68,5.8,6.9,2.1,19
May,5.64,5.75,6.79,2,18.1
June,5.66,5.75,.6.70,1.6,16.5
July,5.71,5.88,6.68,3,13.6
August,5.76,6.14,6.78,6.6,10.4
September,5.78,6.44,6.72,11.4,4.3
October,5.82,6.51,6.71,11.9,3.1
November,5.83,6.59,6.67,13,1.2
December,5.84,6.63,6.72,13.5,1.4
